date,site.ID,lat,lon,so.taken,cu.taken,pi.taken
2015-06-29,J05,NA,NA,NA,NA,NA
2016-05-20,J05,50.506881,-126.247378,30,2,1
2016-05-26,J05,50.495266,-126.211667,30,10,10
2016-06-03,J05,50.507301,-126.24325,30,10,1
2016-06-11,J05,50.500269,-126.209365,30,10,10
2016-06-19,J05,50.506302,-126.24142,0,0,0
2016-06-25,J05,50.49874,-126.21257,28,10,10
2016-07-05,J05,50.50746,-126.24189,NA,NA,NA
2015-05-21,J06,50.47479,-126.03259,30,10,0
2015-05-24,J06,50.47696,-126.0273,30,2,0
2015-05-28,J06,NA,NA,NA,NA,NA
2015-05-29,J06,50.4838,-126.01069,30,10,0
2015-06-02,J06,NA,NA,NA,NA,NA
2015-06-03,J06,50.48189,-126.01128,30,10,0
2015-06-06,J06,NA,NA,NA,NA,NA
2015-06-07,J06,50.47794,-126.02803,30,10,0
2015-06-11,J06,NA,NA,NA,NA,NA
2015-06-12,J06,50.47959,-126.02629,4,10,0
2015-06-14,J06,50.47679,-126.02843,30,10,10
2015-06-18,J06,50.47909,-126.02584,20,10,2
2015-06-21,J06,50.4763,-126.02838,30,10,9
2015-06-24,J06,50.47705,-126.02871,8,10,10
2016-05-21,J06,50.473969,-126.247378,30,0,0
2016-05-27,J06,50.477037,-126.028592,30,10,9
2016-06-04,J06,50.458983,-126.169594,30,10,0
2016-06-11,J06,50.476173,-126.029443,29,10,10
2016-06-19,J06,50.506323,-126.241304,30,10,10
2016-06-25,J06,50.47508,-126.03392,30,10,10
2016-07-06,J06,50.457049,-126.162651,22,10,10
2015-05-22,J07,50.45614,-126.11933,30,1,0
2015-05-26,J07,50.45622,-126.11838,30,10,0
2015-05-30,J07,50.45679,-126.16458,30,10,0
2015-06-02,J07,50.45649,-126.16619,30,10,2
2015-06-06,J07,50.45987,-126.16961,30,10,3
2015-06-11,J07,50.45951,-126.16958,30,10,4
2015-06-14,J07,50.45698,-126.16944,30,10,7
2015-06-18,J07,50.45747,-126.16879,30,10,1
2015-06-20,J07,50.45804,-126.16997,24,10,10
2015-06-24,J07,50.45524,-126.11718,29,10,4
2015-06-29,J07,50.45942,-126.16916,30,10,10
2016-05-20,J07,50.458043,-126.152637,0,0,0
2016-05-21,J07,50.458043,-126.152637,30,0,10
2016-05-27,J07,50.4559,-126.1191,30,0,0
2016-06-03,J07,50.459011,-126.169499,30,10,10
2016-06-11,J07,50.456683,-126.153895,30,10,10
2016-06-20,J07,50.455728,-126.116461,30,10,10
2016-06-25,J07,50.45733,-126.16553,30,10,10
2016-07-05,J07,50.456886,-126.162647,30,10,10
2015-05-22,J08,50.48078,-126.41037,30,3,0
2015-05-25,J08,50.48103,-126.41291,30,10,0
2015-05-30,J08,50.48405,-126.3987,30,10,1
2015-06-03,J08,50.48072,-126.40915,30,10,0
2015-06-07,J08,50.47923,-126.41485,30,10,3
2015-06-15,J08,50.48035,-126.41265,30,10,10
2015-06-17,J08,50.47943,-126.41631,30,10,4
2015-06-20,J08,50.48001,-126.41469,5,10,10
2015-06-24,J08,50.4787,-126.41567,19,10,10
2015-06-29,J08,50.47895,-126.41667,0,10,10
2016-05-20,J08,50.480359,-126.412275,NA,NA,NA
2016-05-21,J08,50.480359,-126.412275,25,0,2
2016-05-26,J08,50.482083,-126.40965,NA,NA,NA
2016-06-02,J08,50.540979,-126.78085,30,10,10
2016-06-10,J08,50.480214,-126.4142,30,10,10
2016-06-19,J08,50.483183,-126.403858,0,0,0
2016-06-24,J08,50.4806,-126.40961,10,10,10
2016-07-05,J08,50.47779,-126.429726,0,0,0
2015-05-23,J09,50.54039,-126.78096,30,10,0
2015-05-26,J09,50.53989,-126.78256,30,10,1
2015-05-27,J09,50.53957,-126.7781,30,10,0
2015-05-31,J09,50.53808,-126.77494,30,10,0
2015-06-03,J09,50.53944,-126.78254,30,10,0
2015-06-07,J09,50.539,-126.7781,29,10,10
2015-06-13,J09,50.53988,-126.78291,30,10,0
2015-06-16,J09,50.54327,-126.81252,30,10,9
2015-06-19,J09,50.54362,-126.81951,30,10,10
2015-06-23,J09,50.54414,-126.81843,30,10,10
2015-06-27,J09,50.5438,-126.81988,30,10,10
2015-07-01,J09,50.54329,-126.8169,30,10,10
2015-07-07,J09,NA,NA,30,10,10
